TaxonName;TaxonGroup;HRoverlap;GS;Dindex;N;s;Mindex;nM;nF;SocialSystem;Activity;Substrate;Habitat;PropLeaves;M_Dispersal;F_Dispersal;ID.LSex;n.LSex;Dis.LSex
Saimiri boliviensis;Cebidae;1;35;NA;2;0.05;NA;NA;NA;mM-mF;Diurnal;Arboreal;Wooded;NA;Dispersal;Philopatry;Male;Multiple;Dispersal
Saimiri oerstedii;Cebidae;0.9;23;7.096933297;2;0.05;1.503476484;2;6;mM-mF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Male;Multiple;Dispersal
Saimiri sciureus;Cebidae;1;41.7;2.314084587;2;0.05;0.356999165;3;12.3;mM-mF;Diurnal;Arboreal;Wooded;NA;Dispersal;Dispersal;Male;Multiple;Dispersal
Semnopithecus entellus;Colobinae;0.35;25.355;0.965248651;1;0.1;0.05823156;3.316288711;8.356893107;mM-mF;Diurnal;Terrestrial;Open;0.5205;Dispersal;Dispersal;Male;Multiple;Dispersal
Simias concolor;Colobinae;0.08;4.4;NA;1;0.1;NA;1;1.9;sM-sF;Diurnal;Arboreal;Wooded;0.35;Dispersal;Dispersal;Male;One;Dispersal
Symphalangus syndactylus;Colobinae;0.24;3.5;1.348197222;1;0.1;0.201959528;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.506666667;Dispersal;Dispersal;Male;One;Dispersal
Trachypithecus cristatus;Colobinae;0.125;21.85;1.027581723;1;0.1;0.239982772;1.085;11.04;sM-mF;Diurnal;Arboreal;Wooded;0.56;Dispersal;Dispersal;Male;One;Dispersal
Trachypithecus francoisi;Colobinae;0;8;0.888890559;1;0.1;0.180724251;1;3;sM-mF;Diurnal;Arboreal;Wooded;0.742;Dispersal;Dispersal;Male;One;Dispersal
Trachypithecus johnii;Colobinae;0.263;13.89;0.284468865;1;0.1;0.026974178;1.6;5.3;sM-mF;Diurnal;Arboreal;Wooded;0.502166667;Dispersal;Dispersal;Male;One;Dispersal
Trachypithecus leucocephalus;Colobinae;0.08;14.5;0.828170267;1;0.1;0.136762909;1;6.5;sM-mF;Diurnal;Terrestrial;Wooded;0.8395;Dispersal;Dispersal;Male;One;Dispersal
Trachypithecus obscurus;Colobinae;0.03;17;0.99168793;1;0.1;0.175772109;2.5;6;mM-mF;Diurnal;Arboreal;Wooded;0.531;Dispersal;Dispersal;Male;Multiple;Dispersal
Trachypithecus pileatus;Colobinae;0.84;8;0.6140687;2;0.05;0.116024729;0.966183575;3.47826087;sM-mF;Diurnal;Arboreal;Wooded;0.4835;Dispersal;Dispersal;Male;One;Dispersal
Trachypithecus vetulus;Colobinae;0.04;12.95;1.236659455;1;0.1;0.266201324;1.25;6.15;sM-mF;Diurnal;Arboreal;Wooded;0.6;Dispersal;Dispersal;Male;One;Dispersal
Varecia variegata variegata;Lemuriformes;0.093;5.5;0.779840313;1;0.1;0.139484154;2;2;mM-mF;Diurnal;Arboreal;Wooded;0.0929;Dispersal;Dispersal;Male;Multiple;Dispersal
